Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG,AverageOverallMPG
Acura,Gasoline,4,35,25,30
Acura,Gasoline,6,28,21,25
Alfa Romeo,Gasoline,4,33,24,29
Alfa Romeo,Gasoline,6,24,17,21
Aston Martin,Gasoline,12,19,12,16
Audi,Gasoline,4,30,23,27
Audi,Gasoline,6,27,19,23
Audi,Gasoline,8,26,17,22
Audi,Gasoline,10,22,14,18
Audi,Gasoline,4,32,24,28
Bentley,Gasoline,8,22,13,18
Bentley,Gasoline,12,20,12,16
BMW,Diesel,4,41,30,36
BMW,Diesel,6,29,23,26
BMW,Electricity,0,109,133,121
BMW,Gasoline,2,33,36,35
BMW,Gasoline,3,29,28,29
BMW,Gasoline,4,32,23,28
BMW,Gasoline,6,28,19,24
BMW,Gasoline,8,23,15,19
BMW,Gasoline,12,20,13,17
Buick,Gasoline,4,27,20,24
Buick,Gasoline,4,31,23,27
Buick,Gasoline,6,26,18,22
Cadillac,Gasoline,4,30,22,26
Cadillac,Gasoline,6,25,17,21
Cadillac,Gasoline,8,21,14,18
Cadillac,Gasoline,4,32,22,27
Cadillac,Gasoline,6,26,18,22
Cadillac,Gasoline,8,21,15,18
Chevrolet,Diesel,4,29,21,25
Chevrolet,Electricity,0,110,128,119
Chevrolet,Gasoline,4,31,21,26
Chevrolet,Gasoline,8,23,15,19
Chevrolet,Gasoline,4,34,27,31
Chevrolet,Gasoline,6,24,17,21
Chevrolet,Gasoline,8,21,15,18
Chrysler,Gasoline,8,25,16,21
Chrysler,Gasoline,4,36,23,30
Chrysler,Gasoline,6,29,20,25
Dodge,Gasoline,8,24,15,20
Dodge,Gasoline,8,23,14,19
Dodge,Gasoline,10,19,12,16
Dodge,Gasoline,4,25,19,22
Dodge,Gasoline,6,27,18,23
Ferrari,Gasoline,8,22,16,19
Ferrari,Gasoline,12,16,12,14
Fiat,Electricity,0,103,121,112
Fiat,Gasoline,4,34,26,30
Fiat,Gasoline,4,30,22,26
Ford,Electricity,0,96,118,107
Ford,Gasoline,4,25,19,22
Ford,Gasoline,6,18,11,15
Ford,Gasoline,8,21,14,18
Ford,Gasoline,3,40,29,35
Ford,Gasoline,4,31,24,28
Ford,Gasoline,6,23,17,20
Ford,Gasoline,8,22,15,19
Genesis,Gasoline,6,24,17,21
Genesis,Gasoline,8,23,15,19
Genesis,Gasoline,6,27,17,22
GMC,Diesel,4,29,21,25
GMC,Gasoline,4,27,20,24
GMC,Gasoline,6,23,17,20
GMC,Gasoline,8,21,15,18
Honda,Gasoline,4,38,30,34
Honda,Gasoline,4,37,29,33
Honda,Gasoline,6,28,19,24
Hyundai,Electricity,0,122,150,136
Hyundai,Gasoline,4,34,27,31
Hyundai,Gasoline,6,25,18,22
Infiniti,Gasoline,4,30,22,26
Infiniti,Gasoline,6,27,20,24
Infiniti,Gasoline,8,22,15,19
Infiniti,Gasoline,4,27,25,26
Jaguar,Diesel,4,39,30,35
Jaguar,Gasoline,4,30,21,26
Jaguar,Gasoline,6,26,18,22
Jaguar,Gasoline,8,23,15,19
Jeep,Gasoline,6,27,19,23
Jeep,Gasoline,8,22,14,18
Jeep,Gasoline,4,31,24,28
Jeep,Gasoline,8,19,13,16
Jeep,Gasoline,4,27,21,24
Jeep,Gasoline,6,22,17,20
Kia,Electricity,0,92,120,106
Kia,Gasoline,8,23,15,19
Kia,Gasoline,4,33,27,30
Kia,Gasoline,6,25,18,22
Lamborghini,Gasoline,10,21,14,18
Lamborghini,Gasoline,12,17,10,14
Land Rover,Diesel,6,28,22,25
Land Rover,Gasoline,4,27,20,24
Land Rover,Gasoline,6,23,17,20
Land Rover,Gasoline,8,19,14,17
Lexus,Gasoline,4,30,22,26
Lexus,Gasoline,6,28,21,25
Lexus,Gasoline,8,22,16,19
Lexus,Gasoline,4,36,39,38
Lexus,Gasoline,6,28,20,24
Lincoln,Gasoline,4,29,23,26
Lincoln,Gasoline,6,24,16,20
Lotus,Gasoline,6,24,17,21
Maserati,Gasoline,6,24,16,20
Maserati,Gasoline,8,20,14,17
Mazda,Gasoline,4,34,26,30
Mazda,Gasoline,4,35,27,31
McLaren Automotive,Gasoline,8,23,16,20
Mercedes-Benz,Electricity,0,82,85,84
Mercedes-Benz,Gasoline,4,30,23,27
Mercedes-Benz,Gasoline,6,25,19,22
Mercedes-Benz,Gasoline,8,22,16,19
Mercedes-Benz,Gasoline,12,20,13,17
MINI,Gasoline,4,33,24,29
Mitsubishi,Electricity,0,102,121,112
Mitsubishi,Gasoline,6,27,20,24
Mitsubishi,Gasoline,3,42,35,39
Mitsubishi,Gasoline,4,31,24,28
Nissan,Electricity,0,101,124,113
Nissan,Gasoline,4,31,26,29
Nissan,Gasoline,6,26,18,22
Nissan,Gasoline,4,33,26,30
Nissan,Gasoline,6,25,18,22
Nissan,Gasoline,8,20,14,17
Porsche,Gasoline,4,27,21,24
Porsche,Gasoline,6,26,19,23
Porsche,Gasoline,8,21,14,18
Ram,Gasoline,8,21,14,18
Ram,Gasoline,4,28,21,25
Ram,Gasoline,6,24,17,21
Rolls-Royce,Gasoline,12,19,12,16
Roush Performance,Gasoline,8,23,14,19
smart,Gasoline,3,39,32,36
Subaru,Gasoline,4,27,21,24
Subaru,Gasoline,4,33,25,29
Subaru,Gasoline,6,28,20,24
Tesla,Electricity,0,98,92,95
Toyota,Gasoline,4,30,23,27
Toyota,Gasoline,4,35,32,34
Toyota,Gasoline,6,25,20,23
Toyota,Gasoline,8,18,13,16
Volkswagen,Gasoline,4,28,21,25
Volkswagen,Gasoline,4,33,24,29
Volkswagen,Gasoline,6,25,18,22
Volvo,Gasoline,4,29,22,26
Volvo,Gasoline,4,32,23,28